,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_sac_fly,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,name,mlb_id,babip
21,593160,2020,31,248,265,70,49,12,0,9,33,12,12.5,4.5,0.282,0.44,0.325,0.764,1,0.292,0.439,0.32899999999999996,0.336,0.33399999999999996,0.146,86.1,15.8,5.1,Whit Merrifield,593160,0.2946859903381642
22,593871,2020,27,209,226,54,42,8,0,4,35,13,15.5,5.8,0.258,0.354,0.301,0.655,1,0.263,0.381,0.289,0.304,0.308,0.11800000000000001,86.6,16.1,2.8,Jorge Polanco,593871,0.29239766081871343
23,594807,2020,32,190,209,45,21,8,0,16,54,15,25.8,7.2,0.237,0.532,0.301,0.833,1,0.22699999999999998,0.513,0.348,0.34,0.293,0.28600000000000003,88.1,22.9,13.9,Adam Duvall,594807,0.2396694214876033
24,595879,2020,28,222,235,45,27,9,1,8,75,7,31.9,3.0,0.203,0.36,0.23800000000000002,0.599,2,0.214,0.377,0.256,0.27399999999999997,0.252,0.163,89.4,10.3,8.1,Javier Baez,595879,0.2624113475177305
25,596019,2020,27,236,266,61,40,13,0,8,41,24,15.4,9.0,0.258,0.415,0.335,0.75,2,0.278,0.439,0.324,0.345,0.354,0.162,89.9,13.5,5.6,Francisco Lindor,596019,0.2804232804232804
26,596115,2020,28,235,259,68,40,13,4,11,63,24,24.3,9.3,0.289,0.519,0.355,0.8740000000000001,0,0.252,0.45299999999999996,0.37,0.33299999999999996,0.321,0.201,89.9,20.8,8.7,Trevor Story,596115,0.35403726708074534
27,600303,2020,31,196,228,55,34,14,2,5,12,27,5.3,11.8,0.281,0.449,0.368,0.8170000000000001,2,0.273,0.42,0.355,0.34700000000000003,0.364,0.147,88.0,17.1,4.8,Tommy La Stella,600303,0.27624309392265195
28,600524,2020,26,195,216,50,28,10,0,12,64,17,29.6,7.9,0.256,0.49200000000000005,0.324,0.816,1,0.22699999999999998,0.431,0.34700000000000003,0.315,0.298,0.204,86.3,21.1,12.1,Renato Nunez,600524,0.31666666666666665
29,605119,2020,27,200,229,51,32,7,1,11,66,22,28.8,9.6,0.255,0.465,0.345,0.81,1,0.22699999999999998,0.426,0.348,0.324,0.321,0.19899999999999998,87.4,9.6,9.6,Brian Anderson,605119,0.3225806451612903
30,605141,2020,28,219,246,64,38,9,1,16,38,24,15.4,9.8,0.292,0.562,0.366,0.927,1,0.281,0.48100000000000004,0.39,0.359,0.35600000000000004,0.2,90.7,18.5,7.7,Mookie Betts,605141,0.2891566265060241
31,605204,2020,27,190,229,47,32,9,0,6,56,31,24.5,13.5,0.247,0.389,0.371,0.7609999999999999,1,0.256,0.428,0.342,0.36,0.379,0.171,90.1,3.3,8.9,J.D. Davis,605204,0.3178294573643411
32,607043,2020,27,186,225,52,33,8,3,8,43,33,19.1,14.7,0.28,0.484,0.40399999999999997,0.888,0,0.247,0.419,0.387,0.35600000000000004,0.37799999999999995,0.171,87.2,7.6,7.7,Brandon Nimmo,607043,0.32592592592592595
33,614177,2020,25,211,241,58,39,10,0,9,69,24,28.6,10.0,0.275,0.45,0.344,0.795,5,0.245,0.43799999999999994,0.341,0.34,0.326,0.193,92.4,11.2,12.9,Franmil Reyes,614177,0.35507246376811596
34,621035,2020,30,185,214,50,30,10,2,8,55,26,25.7,12.1,0.27,0.47600000000000003,0.364,0.84,0,0.27,0.485,0.364,0.37,0.366,0.215,88.0,9.1,11.5,Chris Taylor,621035,0.3442622950819672
35,624413,2020,26,208,239,48,26,6,0,16,61,24,25.5,10.0,0.231,0.49,0.326,0.8170000000000001,1,0.222,0.455,0.345,0.332,0.319,0.233,90.2,15.5,12.8,Pete Alonso,624413,0.24242424242424243
36,624428,2020,29,209,230,48,34,7,0,7,35,17,15.2,7.4,0.23,0.364,0.29600000000000004,0.659,0,0.25,0.376,0.29100000000000004,0.307,0.315,0.126,85.5,12.3,4.0,Adam Frazier,624428,0.24550898203592814
37,641487,2020,25,204,232,52,41,7,2,2,39,23,16.8,9.9,0.255,0.33799999999999997,0.336,0.674,2,0.254,0.35700000000000004,0.303,0.315,0.34,0.102,85.8,11.5,1.8,J.P. Crawford,641487,0.30303030303030304
38,643446,2020,28,183,209,57,39,14,0,4,24,20,11.5,9.6,0.311,0.45399999999999996,0.38299999999999995,0.836,3,0.276,0.405,0.36,0.335,0.354,0.129,86.6,11.5,2.5,Jeff McNeil,643446,0.33544303797468356
39,656941,2020,27,191,224,36,19,6,0,11,66,30,29.5,13.4,0.188,0.39299999999999996,0.308,0.701,0,0.22,0.433,0.307,0.335,0.335,0.213,92.8,8.8,11.2,Kyle Schwarber,656941,0.21929824561403508
40,660670,2020,23,160,202,40,15,11,0,14,60,38,29.7,18.8,0.25,0.581,0.406,0.987,0,0.257,0.593,0.41700000000000004,0.425,0.41100000000000003,0.336,92.4,18.6,16.0,Ronald Acuna Jr.,660670,0.3023255813953488
41,664058,2020,26,207,230,66,50,13,0,3,25,20,10.9,8.7,0.319,0.425,0.374,0.799,2,0.292,0.35100000000000003,0.35,0.316,0.35200000000000004,0.059000000000000004,84.7,4.1,0.5,David Fletcher,664058,0.34806629834254144
42,666971,2020,27,208,224,64,39,14,0,11,48,14,21.4,6.3,0.308,0.534,0.348,0.882,2,0.28,0.483,0.37200000000000005,0.345,0.32299999999999995,0.203,90.8,10.5,11.7,Lourdes Gurriel Jr.,666971,0.3509933774834437
43,669374,2020,24,217,246,46,29,4,0,13,85,16,34.6,6.5,0.212,0.41,0.297,0.7070000000000001,2,0.209,0.43200000000000005,0.304,0.316,0.298,0.223,87.4,14.3,14.2,Keston Hiura,669374,0.2727272727272727
44,670032,2020,25,169,192,34,25,8,0,1,41,18,21.4,9.4,0.201,0.266,0.281,0.5479999999999999,0,0.23800000000000002,0.308,0.254,0.287,0.319,0.07,84.9,1.4,1.5,Nicky Lopez,670032,0.25984251968503935
45,673357,2020,23,202,227,47,28,8,0,11,73,20,32.2,8.8,0.233,0.436,0.3,0.735,2,0.223,0.45799999999999996,0.316,0.325,0.29600000000000004,0.23600000000000002,87.9,16.7,13.0,Luis Robert,673357,0.3
46,452678,2020,35,190,213,46,26,9,3,8,40,19,18.8,8.9,0.242,0.447,0.305,0.753,4,0.242,0.42700000000000005,0.319,0.316,0.306,0.185,89.5,13.7,6.5,Asdrubal Cabrera,452678,0.2602739726027397
