last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_sac_fly,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Davis, J.D.,605204,2020,27,190,229,47,32,9,0,6,56,31,24.5,13.5,0.247,0.389,0.371,0.761,1,0.256,0.428,0.342,0.36,0.379,0.171,90.1,3.3,8.9,
Nimmo, Brandon,607043,2020,27,186,225,52,33,8,3,8,43,33,19.1,14.7,0.28,0.484,0.404,0.888,0,0.247,0.419,0.387,0.356,0.378,0.171,87.2,7.6,7.7,
Reyes, Franmil,614177,2020,25,211,241,58,39,10,0,9,69,24,28.6,10,0.275,0.45,0.344,0.795,5,0.245,0.438,0.341,0.34,0.326,0.193,92.4,11.2,12.9,
Taylor, Chris,621035,2020,30,185,214,50,30,10,2,8,55,26,25.7,12.1,0.27,0.476,0.364,0.84,0,0.27,0.485,0.364,0.37,0.366,0.215,88,9.1,11.5,
Alonso, Pete,624413,2020,26,208,239,48,26,6,0,16,61,24,25.5,10,0.231,0.49,0.326,0.817,1,0.222,0.455,0.345,0.332,0.319,0.233,90.2,15.5,12.8,
Frazier, Adam,624428,2020,29,209,230,48,34,7,0,7,35,17,15.2,7.4,0.23,0.364,0.296,0.659,0,0.25,0.376,0.291,0.307,0.315,0.126,85.5,12.3,4,
Crawford, J.P.,641487,2020,25,204,232,52,41,7,2,2,39,23,16.8,9.9,0.255,0.338,0.336,0.674,2,0.254,0.357,0.303,0.315,0.34,0.102,85.8,11.5,1.8,
McNeil, Jeff,643446,2020,28,183,209,57,39,14,0,4,24,20,11.5,9.6,0.311,0.454,0.383,0.836,3,0.276,0.405,0.36,0.335,0.354,0.129,86.6,11.5,2.5,
Schwarber, Kyle,656941,2020,27,191,224,36,19,6,0,11,66,30,29.5,13.4,0.188,0.393,0.308,0.701,0,0.22,0.433,0.307,0.335,0.335,0.213,92.8,8.8,11.2,
Acuna Jr., Ronald,660670,2020,23,160,202,40,15,11,0,14,60,38,29.7,18.8,0.25,0.581,0.406,0.987,0,0.257,0.593,0.417,0.425,0.411,0.336,92.4,18.6,16,
Fletcher, David,664058,2020,26,207,230,66,50,13,0,3,25,20,10.9,8.7,0.319,0.425,0.374,0.799,2,0.292,0.351,0.35,0.316,0.352,0.059,84.7,4.1,0.5,
Gurriel Jr., Lourdes,666971,2020,27,208,224,64,39,14,0,11,48,14,21.4,6.3,0.308,0.534,0.348,0.882,2,0.28,0.483,0.372,0.345,0.323,0.203,90.8,10.5,11.7,
Hiura, Keston,669374,2020,24,217,246,46,29,4,0,13,85,16,34.6,6.5,0.212,0.41,0.297,0.707,2,0.209,0.432,0.304,0.316,0.298,0.223,87.4,14.3,14.2,
Lopez, Nicky,670032,2020,25,169,192,34,25,8,0,1,41,18,21.4,9.4,0.201,0.266,0.281,0.548,0,0.238,0.308,0.254,0.287,0.319,0.07,84.9,1.4,1.5,
Robert, Luis,673357,2020,23,202,227,47,28,8,0,11,73,20,32.2,8.8,0.233,0.436,0.3,0.735,2,0.223,0.458,0.316,0.325,0.296,0.236,87.9,16.7,13,
Cabrera, Asdrubal,452678,2020,35,190,213,46,26,9,3,8,40,19,18.8,8.9,0.242,0.447,0.305,0.753,4,0.242,0.427,0.319,0.316,0.306,0.185,89.5,13.7,6.5,
Votto, Joey,458015,2020,37,186,223,42,23,8,0,11,43,37,19.3,16.6,0.226,0.446,0.354,0.8,0,0.253,0.478,0.347,0.369,0.377,0.225,87.4,15.4,9.1,
Gurriel, Yuli,493329,2020,36,211,230,49,30,12,1,6,27,12,11.7,5.2,0.232,0.384,0.274,0.658,5,0.262,0.404,0.281,0.315,0.311,0.142,89.3,13.9,3.7,
Segura, Jean,516416,2020,30,192,217,51,37,5,2,7,45,23,20.7,10.6,0.266,0.422,0.346,0.767,0,0.25,0.391,0.333,0.318,0.334,0.141,87.7,11.2,6.1,
Grandal, Yasmani,518735,2020,32,161,194,37,22,7,0,8,58,30,29.9,15.5,0.23,0.422,0.351,0.773,2,0.207,0.403,0.338,0.327,0.334,0.196,90.3,15.6,7.6,
Villar, Jonathan,542340,2020,29,185,207,43,36,5,0,2,54,19,26.1,9.2,0.232,0.292,0.3,0.591,2,0.211,0.281,0.266,0.255,0.282,0.07,86.7,1.6,1.5,
Vazquez, Christian,543877,2020,30,173,189,49,33,9,0,7,43,16,22.8,8.5,0.283,0.457,0.344,0.801,0,0.221,0.356,0.346,0.284,0.287,0.134,88.4,14.4,4.6,
Wong, Kolten,543939,2020,30,181,208,48,41,4,2,1,30,20,14.4,9.6,0.265,0.326,0.346,0.672,1,0.241,0.311,0.305,0.291,0.328,0.07,86.5,10.8,0.6,
Castellanos, Nick,592206,2020,28,218,242,49,22,11,2,14,69,19,28.5,7.9,0.225,0.486,0.298,0.784,1,0.272,0.539,0.329,0.372,0.34,0.267,91,16.5,16,
Rosario, Eddie,592696,2020,29,210,231,54,34,7,0,13,34,19,14.7,8.2,0.257,0.476,0.316,0.792,2,0.244,0.435,0.333,0.316,0.305,0.191,87.5,18.1,6.2,
Yelich, Christian,592885,2020,29,200,247,41,21,7,1,12,76,46,30.8,18.6,0.205,0.43,0.356,0.786,0,0.248,0.468,0.343,0.375,0.391,0.22,94,7.1,12.1,
Sano, Miguel,593934,2020,27,186,205,38,13,12,0,13,90,18,43.9,8.8,0.204,0.478,0.278,0.757,0,0.214,0.478,0.317,0.324,0.287,0.264,95.2,20.2,22.9,
Calhoun, Kole,594777,2020,33,190,228,43,18,9,0,16,50,28,21.9,12.3,0.226,0.526,0.338,0.864,4,0.258,0.506,0.362,0.373,0.365,0.249,89.4,17,11.8,
Ahmed, Nick,605113,2020,30,199,217,53,37,10,1,5,46,18,21.2,8.3,0.266,0.402,0.327,0.729,0,0.244,0.374,0.318,0.302,0.307,0.129,87.7,9.4,5.2,
Bell, Josh,605137,2020,28,195,223,44,33,3,0,8,59,22,26.5,9.9,0.226,0.364,0.305,0.669,4,0.228,0.381,0.286,0.297,0.308,0.153,91.7,5.9,8.6,
Arcia, Orlando,606115,2020,26,173,189,45,29,10,1,5,32,14,16.9,7.4,0.26,0.416,0.317,0.734,1,0.279,0.425,0.317,0.336,0.337,0.147,89,9.6,5.6,
Hernandez, Teoscar,606192,2020,28,190,207,55,32,7,0,16,63,14,30.4,6.8,0.289,0.579,0.338,0.917,1,0.294,0.608,0.384,0.398,0.344,0.315,93.3,15.3,18,
Marte, Ketel,606466,2020,27,181,195,52,35,14,1,2,21,7,10.8,3.6,0.287,0.409,0.323,0.732,3,0.261,0.375,0.316,0.301,0.305,0.114,89.2,10,3.7,
Gallo, Joey,608336,2020,27,193,226,35,17,8,0,10,79,29,35,12.8,0.181,0.378,0.301,0.679,0,0.19,0.411,0.297,0.313,0.308,0.221,91.2,26.8,14,
Anderson, Tim,641313,2020,27,208,221,67,45,11,1,10,50,10,22.6,4.5,0.322,0.529,0.357,0.886,1,0.291,0.506,0.376,0.357,0.329,0.214,87.2,6.7,10.1,
Dozier, Hunter,641531,2020,29,158,186,36,24,4,2,6,48,27,25.8,14.5,0.228,0.392,0.344,0.736,0,0.233,0.381,0.326,0.328,0.349,0.148,86.4,17,8.2,
Lewis, Kyle,641786,2020,25,206,242,54,40,3,0,11,71,34,29.3,14,0.262,0.437,0.364,0.801,2,0.238,0.431,0.349,0.343,0.346,0.193,88.3,11.1,11.7,
McMahon, Ryan,641857,2020,26,172,193,37,21,6,1,9,66,18,34.2,9.3,0.215,0.419,0.295,0.714,1,0.201,0.384,0.311,0.297,0.283,0.184,90.1,9.2,11.2,
Smith, Dominic,642086,2020,25,177,199,56,24,21,1,10,45,14,22.6,7,0.316,0.616,0.377,0.993,3,0.301,0.563,0.412,0.39,0.363,0.262,89.8,10.8,13.3,
Adames, Willy,642715,2020,25,185,205,48,24,15,1,8,74,20,36.1,9.8,0.259,0.481,0.332,0.813,0,0.228,0.392,0.347,0.305,0.303,0.164,88.8,12.5,9.9,
Kiner-Falefa, Isiah,643396,2020,25,211,228,59,49,4,3,3,32,14,14,6.1,0.28,0.37,0.329,0.699,1,0.26,0.34,0.307,0.294,0.312,0.08,87.2,0.8,2.2,
Devers, Rafael,646240,2020,24,232,248,61,33,16,1,11,67,13,27,5.2,0.263,0.483,0.31,0.793,0,0.255,0.458,0.337,0.327,0.303,0.204,93,10.6,12.1,
Verdugo, Alex,657077,2020,24,201,221,62,40,16,0,6,45,17,20.4,7.7,0.308,0.478,0.367,0.844,1,0.238,0.369,0.362,0.298,0.305,0.131,87,5.9,6.4,
Moncada, Yoan,660162,2020,25,200,231,45,28,8,3,6,72,28,31.2,12.1,0.225,0.385,0.32,0.705,2,0.206,0.334,0.309,0.288,0.305,0.128,87.8,13.9,6.2,
Grisham, Trent,663757,2020,24,215,252,54,33,8,3,10,64,31,25.4,12.3,0.251,0.456,0.349,0.805,1,0.264,0.48,0.349,0.367,0.364,0.215,88.3,13.5,11.1,
Soto, Juan,665742,2020,22,154,196,54,27,14,0,13,28,41,14.3,20.9,0.351,0.695,0.49,1.185,0,0.332,0.695,0.478,0.474,0.475,0.363,92.1,4.3,18.3,
